iter	Passed	Remaining
0	154	154435
1	158	79103
2	162	54053
3	166	41438
4	169	33634
5	171	28382
6	174	24693
7	177	21952
8	180	19826
9	182	18041
10	184	16608
11	186	15383
12	188	14319
13	190	13422
14	192	12641
15	194	11982
16	196	11368
17	197	10799
18	199	10281
19	200	9820
20	201	9411
21	203	9030
22	204	8676
23	205	8351
24	206	8058
25	207	7787
26	209	7547
27	210	7306
28	211	7076
29	212	6872
30	213	6672
31	214	6490
32	215	6313
33	216	6149
34	217	5990
35	218	5841
36	218	5696
37	219	5562
38	220	5432
39	221	5307
40	221	5188
41	222	5079
42	223	4980
43	224	4882
44	225	4787
45	226	4694
46	227	4606
47	227	4520
48	228	4441
49	229	4365
50	230	4290
51	231	4214
52	231	4141
53	232	4071
54	233	4004
55	233	3937
56	234	3875
57	234	3815
58	235	3757
59	236	3698
60	236	3642
61	237	3587
62	237	3536
63	238	3486
64	238	3437
65	239	3389
66	240	3344
67	240	3296
68	240	3251
69	241	3211
70	242	3170
71	242	3130
72	243	3092
73	244	3054
74	244	3016
75	245	2980
76	245	2945
77	246	2910
78	246	2879
79	247	2848
80	248	2817
81	248	2786
82	249	2756
83	250	2727
84	250	2695
85	250	2666
86	251	2635
87	251	2608
88	252	2582
89	252	2556
90	253	2533
91	254	2508
92	254	2484
93	255	2460
94	255	2436
95	256	2413
96	256	2391
97	257	2368
98	257	2346
99	258	2324
100	258	2303
101	259	2281
102	259	2263
103	260	2245
104	261	2227
105	261	2207
106	262	2189
107	262	2171
108	263	2153
109	263	2135
110	264	2118
111	265	2102
112	265	2086
113	266	2070
114	267	2056
115	267	2039
116	268	2024
117	268	2009
118	269	1993
119	269	1979
120	270	1964
121	270	1949
122	271	1933
123	271	1918
124	271	1903
125	272	1890
126	273	1876
127	273	1862
128	273	1848
129	274	1835
130	274	1823
131	275	1811
132	275	1798
133	276	1786
134	276	1774
135	277	1763
136	278	1752
137	278	1741
138	279	1730
139	279	1719
140	280	1708
141	280	1697
142	281	1686
143	281	1675
144	282	1664
145	282	1653
146	283	1643
147	283	1633
148	284	1626
149	285	1617
150	285	1607
151	286	1598
152	287	1589
153	287	1580
154	288	1571
155	288	1561
156	289	1552
157	289	1543
158	290	1535
159	290	1526
160	291	1518
161	291	1510
162	292	1502
163	293	1494
164	293	1486
165	294	1479
166	294	1471
167	295	1464
168	296	1457
169	297	1450
170	297	1443
171	298	1437
172	299	1429
173	299	1422
174	300	1415
175	300	1408
176	301	1400
177	301	1393
178	302	1385
179	302	1379
180	303	1372
181	304	1366
182	304	1360
183	305	1353
184	305	1346
185	306	1339
186	306	1333
187	307	1326
188	307	1319
189	307	1313
190	308	1306
191	309	1300
192	309	1294
193	310	1288
194	310	1282
195	311	1276
196	311	1270
197	312	1264
198	312	1258
199	313	1252
200	313	1246
201	314	1241
202	314	1236
203	315	1231
204	316	1226
205	316	1220
206	317	1214
207	317	1209
208	318	1204
209	318	1198
210	319	1193
211	319	1187
212	319	1182
213	320	1176
214	320	1171
215	321	1166
216	322	1162
217	322	1157
218	323	1153
219	323	1148
220	324	1143
221	324	1138
222	325	1133
223	325	1129
224	326	1124
225	326	1119
226	327	1115
227	328	1110
228	328	1106
229	329	1101
230	329	1097
231	330	1092
232	330	1088
233	331	1083
234	331	1079
235	332	1074
236	332	1070
237	332	1065
238	333	1061
239	333	1057
240	334	1053
241	335	1049
242	335	1046
243	336	1041
244	336	1037
245	337	1033
246	337	1029
247	338	1025
248	338	1021
249	339	1017
250	339	1013
251	340	1010
252	341	1007
253	341	1003
254	342	999
255	342	996
256	343	992
257	343	988
258	344	985
259	344	981
260	345	977
261	345	973
262	346	970
263	346	967
264	347	963
265	347	959
266	348	956
267	348	952
268	349	949
269	349	946
270	350	942
271	350	938
272	351	935
273	351	932
274	352	929
275	353	926
276	353	923
277	354	920
278	355	917
279	355	914
280	356	911
281	356	908
282	357	905
283	357	901
284	358	898
285	358	895
286	359	893
287	360	890
288	360	887
289	361	885
290	362	882
291	362	879
292	362	875
293	363	872
294	363	869
295	364	866
296	364	863
297	365	860
298	366	858
299	366	855
300	367	852
301	367	849
302	368	847
303	369	845
304	369	842
305	370	839
306	371	837
307	371	835
308	372	833
309	373	831
310	374	828
311	374	826
312	375	824
313	376	821
314	376	819
315	377	816
316	378	814
317	378	812
318	379	810
319	380	807
